"match_map_id","map_thumbnail","match_play_duration","match_season","match_uid","match_winner_side","mvp_uid","svp_uid","score_info.0","score_info.1","match_time_stamp","play_mode_id","game_mode_id","match_player.assists","match_player.kills","match_player.deaths","match_player.is_win.score","match_player.is_win.is_win","match_player.disconnected","match_player.player_uid","match_player.camp","match_player.score_info.add_score","match_player.score_info.level","match_player.score_info.new_level","match_player.score_info.new_score","match_player.player_hero.hero_id","match_player.player_hero.hero_name","match_player.player_hero.hero_type","match_player.player_hero.kills","match_player.player_hero.deaths","match_player.player_hero.assists","match_player.player_hero.play_time","match_player.player_hero.total_hero_damage","match_player.player_hero.total_damage_taken","match_player.player_hero.total_hero_heal","mode"
1217,"/maps/map_1217.png",658.1341,"5","5517800_1763849171_1217201_11001_11",1,1055442592,1124313401,NA,NA,1763849920,0,1, 0,30, 8,1,1,FALSE,1055442592, 1,  30.30168,   1.00000,   1.00000,3374.11590,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,30,8, 0,658.1313,19632.452,8744.856,    0.000,"Competitive"
1034,"/maps/map_1034.png",432.2722,"5","5517742_1763847822_1034226_11001_11",0,1773704330,1669881589,NA,NA,1763848347,0,1, 2,11, 6,0,0,FALSE,1055442592, 1, -28.89445,   1.00000,   1.00000,3343.81422,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,10,5, 2,359.1236,11825.242,4123.312,    0.000,"Competitive"
1148,"/maps/map_1148.png",480.0241,"5","6697155_1763803847_1148773_11001_13",1,1055442592,1641912696,NA,NA,1763804419,0,1, 0,24, 6,1,1,FALSE,1055442592, 1,  29.96609,   1.00000,   1.00000,3372.70867,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,16,3, 0,262.5317,10146.811,2815.365,    0.000,"Competitive"
1032,"/maps/map_1032.png",612.3394,"5","6697566_1763799442_1032179_11001_13",1,1393329166,1222010876,NA,NA,1763800144,0,1,22,22, 5,0,0,FALSE,1055442592,NA, -33.85776,   1.00000,   1.00000,3342.74258,1047,jeff the land shark,/heroes/transformations/jeff-the-land-shark-headbig-0.webp,22,5,22,612.3369, 8626.613,3690.295,15588.856,"Competitive"
1317,"/maps/map_1317.png",542.8573,"5","5517335_1763717320_1317922_11001_11",0,1133032223,1654602403, 2, 0,1763718020,0,1, 0,10, 9,0,0,FALSE,1055442592, 1, -37.15555,   1.00000,   1.00000,3434.65015,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp, 4,5, 0,272.0679, 4806.044,2206.775,    0.000,"Competitive"
1307,"/maps/map_1307.png",269.4174,"5","5517603_1763715996_1307331_11001_11",1, 937366651,1267918417,NA,NA,1763716363,0,1, 0, 0, 3,0,0,FALSE,1055442592,NA,NA,NA,NA,NA,1056,angela,/heroes/transformations/angela-headbig-0.webp, 0,2, 0,172.1597,  397.500,2600.727,    0.000,"Competitive"
1309,"/maps/map_1309.png",930.4536,"5","6697303_1763714532_1309528_11001_13",0,1195147248,1524762557, 2, 1,1763715689,0,1, 0,21,14,0,0,FALSE,1055442592, 1, -29.70404,   1.00000,   1.00000,3442.77039,1043,star-lord,/heroes/transformations/star-lord-headbig-0.webp, 9,7, 0,460.0742, 8408.257,4939.833,    0.000,"Competitive"
1235,"/maps/map_1235.png",802.6783,"5","6697230_1763535278_1235504_11001_13",0, 759513620, 780051893, 2, 1,1763536300,0,1, 0,26,13,0,0,FALSE,1055442592, 1, -24.88580,   1.00000,   1.00000,3477.96966,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp,20,6, 0,496.6776,12236.877,5492.429,    0.000,"Competitive"
1240,"/maps/map_1240.png",480.0267,"5","5518185_1763534680_1240191_11001_11",1,2123171673,2043916468,NA,NA,1763535247,0,1, 0,10, 9,1,1,FALSE,1055442592, 1,  32.20110,   1.00000,   1.00000,3502.85545,1030,moon knight,/heroes/transformations/moon-knight-headbig-0.webp, 8,8, 0,398.4312,14696.543,5505.994,    0.000,"Competitive"
1032,"/maps/map_1032.png",436.5680,"5","6697074_1763420849_1032260_11001_13",0, 605824520, 557337911,NA,NA,1763421373,0,1, 0, 7, 9,0,0,FALSE,1055442592, 1, -30.95492,   1.00000,   1.00000,3470.65436,1043,star-lord,/heroes/transformations/star-lord-headbig-0.webp, 5,6, 0,303.6891, 5170.983,3032.065,    0.000,"Competitive"
